id	created_at	updated_at	name	category	ownership	inactive_reason	is_test	country	address_id	location	most_common_language_code
00000000-0000-0000-0000-000000000001	2025-12-17 11:18:06.127852-05	2025-12-17 11:18:06.127852-05	VHA Test Clinic South Africa	Clinic	Govt.		t	ZA	1e8a8a0f-50ce-43b3-aafe-9b3f7d16f7d0	0101000020E61000004FB8B29F20C63D40D1483AB9957433C0	nso
00000000-0000-0000-0000-000000000002	2025-12-17 11:18:06.128947-05	2025-12-17 11:18:06.128947-05	VHA Test Regional Medical Center South Africa	Regional Medical Center	Govt.		t	ZA	45c3a357-f95a-4cd4-8e46-fde750fe61da	0101000020E610000087FDF9111AC63D409803F3469C7433C0	nso
00000000-0000-0000-0000-000000000003	2025-12-17 11:18:06.129472-05	2025-12-17 11:18:06.129472-05	VHA Test Clinic Zimbabwe	Clinic	Govt.		t	ZW	1f0774ed-62c9-4c58-8deb-c87eb12cf59e	0101000020E61000004FB8B29F20C63D40D1483AB9957433C0	
00000000-0000-0000-0000-000000000004	2025-12-17 11:18:06.129947-05	2025-12-17 11:18:06.129947-05	VHA Test Regional Medical Center Zimbabwe	Regional Medical Center	Govt.		t	ZW	7129e3e2-42b7-42d7-9a80-b8f66fc52af1	0101000020E610000087FDF9111AC63D409803F3469C7433C0	
73b58fd9-7d88-429d-9f15-02404a6c1dde	2025-12-17 11:18:06.134956-05	2025-12-17 11:18:06.134956-05	Hospital Barra Do Dande Hospital	Hospital	Govt.		f	AO		0101000020E610000007CE1951DAFB2A401D5A643BDF4F21C0	
f5a72eda-66a3-43dd-b851-5bcf6763d955	2025-12-17 11:18:06.13635-05	2025-12-17 11:18:06.13635-05	Hospital Provincial de Bengo Provincial Hospital	Provincial Hospital	Govt.		f	AO		0101000020E6100000FDF675E09C512B407C613255302A21C0	
1effc26a-66af-4480-a176-fa255be2c580	2025-12-17 11:18:06.137477-05	2025-12-17 11:18:06.137477-05	27 de Marto Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E610000000000000000000000000000000000000	
f72ed51d-4110-426a-8937-eaf833730ed4	2025-12-17 11:18:06.138351-05	2025-12-17 11:18:06.138351-05	Abrigo Anjo da Guarda Health Centre Centro De Sa├║de	Centro De Sa├║de	MoH		f	AO		0101000020E61000002C6519E258172B40166A4DF38EB328C0	
d3fd731d-23dd-4d80-bf6f-51f631cf9fd8	2025-12-17 11:18:06.14035-05	2025-12-17 11:18:06.14035-05	Acude Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000006891ED7C3F152B405D6DC5FEB2DB28C0	
c33b39ad-3554-4bd2-9347-4ba9e5443510	2025-12-17 11:18:06.142467-05	2025-12-17 11:18:06.142467-05	Alto Kapaca Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E6100000B84082E2C7D82C407B832F4CA6EA29C0	
7398670b-8321-4054-8ea3-40bfba5aff40	2025-12-17 11:18:06.143989-05	2025-12-17 11:18:06.143989-05	Alto Liro Health Centre Centro De Sa├║de	Centro De Sa├║de	MoH		f	AO		0101000020E6100000857CD0B359F52B40F1F44A5986F827C0	
da232928-3517-4c60-8efd-c36091a2ddff	2025-12-17 11:18:06.145585-05	2025-12-17 11:18:06.145585-05	Alto Niva Health Centre Centro De Sa├║de	Centro De Sa├║de	MoH		f	AO		0101000020E610000000000000000000000000000000000000	
97e8203e-2243-4749-a1da-3c1282cd7305	2025-12-17 11:18:06.148553-05	2025-12-17 11:18:06.148553-05	Baia-Elefantes Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000003255302AA97329404850FC1873772AC0	
a2f0a6c6-7449-44ec-aa9a-af8274502470	2025-12-17 11:18:06.150327-05	2025-12-17 11:18:06.150327-05	Balombo Municipal Hospital	Municipal Hospital	Govt.		f	AO		0101000020E6100000984C158C4A8A2D403411363CBDB228C0	
d6d33a66-3894-4381-9791-b82b5ebacbe0	2025-12-17 11:18:06.152267-05	2025-12-17 11:18:06.152267-05	Biopio Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000009EEFA7C64B772B40C976BE9F1AEF28C0	
01903a11-e47f-4bdb-a0f5-fd972ba91ed2	2025-12-17 11:18:06.153553-05	2025-12-17 11:18:06.153553-05	Bolonguera Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000007B832F4CA62A2B409A99999999192BC0	
2ce3e7aa-33c9-4e13-94cc-c8928bf59d16	2025-12-17 11:18:06.155029-05	2025-12-17 11:18:06.155029-05	Caimbambo Municipal Hospital	Municipal Hospital	Govt.		f	AO		0101000020E61000000000000000002C4062105839B4082AC0	
061eb3f1-2003-40d6-959f-8c6989f44939	2025-12-17 11:18:06.157426-05	2025-12-17 11:18:06.157426-05	Cambangela Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000009D8026C286E72A40F5B9DA8AFD2529C0	
eb54614d-1af2-4cf3-b123-53f16b46d67d	2025-12-17 11:18:06.159306-05	2025-12-17 11:18:06.159306-05	Canhamela Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000009BE61DA7E8082C401B9E5E29CB102AC0	
5fcbb46f-0bf3-4b41-81aa-1664b1be4d6a	2025-12-17 11:18:06.161051-05	2025-12-17 11:18:06.161051-05	Catengue Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000000000000000802B40E2E995B20C112AC0	
190310b8-1195-4743-ba79-a097c3bb792e	2025-12-17 11:18:06.162657-05	2025-12-17 11:18:06.162657-05	Chacuma Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000003255302AA9932D407958A835CDBB29C0	
9c38c47c-adbb-448e-9872-4a968c0f274b	2025-12-17 11:18:06.164315-05	2025-12-17 11:18:06.164315-05	Chinduri Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000003B014D840D6F2C4075931804562E29C0	
024aec04-0025-4a04-8b4d-7991fa1999aa	2025-12-17 11:18:06.165987-05	2025-12-17 11:18:06.165987-05	Cuball Centro Materno Infantil Centro De Sa├║de	Centro De Sa├║de	MoH		f	AO		0101000020E61000000000000000802C40E2E995B20C112AC0	
e90e6546-3983-4434-b1c4-fea9c0c60ca8	2025-12-17 11:18:06.167863-05	2025-12-17 11:18:06.167863-05	Ebanga Health Centre Centro De Sa├║de	Centro De Sa├║de	MoH		f	AO		0101000020E6100000F6285C8FC2752D40F6285C8FC27529C0	
d06cb08a-d137-46b4-8ed4-2459ff2c721d	2025-12-17 11:18:06.16946-05	2025-12-17 11:18:06.16946-05	Fonte das Gracas Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000002B1895D409282B404182E2C798BB28C0	
222f4ef3-f816-44b3-b10d-99ff02e4f7f2	2025-12-17 11:18:06.170843-05	2025-12-17 11:18:06.170843-05	Ganda Municipal Hospital	Municipal Hospital	Govt.		f	AO		0101000020E6100000A1F831E6AE452D4063EE5A423E082AC0	
92f9b0d4-f5fd-4ceb-86cf-2b81c86b18b0	2025-12-17 11:18:06.17274-05	2025-12-17 11:18:06.17274-05	Kanbandjo Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E6100000EEEBC039238A2D408638D6C56DB428C0	
4347570d-3338-4b06-b2cc-55d800b7d7cf	2025-12-17 11:18:06.174125-05	2025-12-17 11:18:06.174125-05	Katima Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000008716D9CEF7332D40B22E6EA3011C2AC0	
c8a241ff-ea55-4a90-864b-ab9e0db36756	2025-12-17 11:18:06.175851-05	2025-12-17 11:18:06.175851-05	Luacho Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000008E75711B0D002A40462575029AC829C0	
bde2a1c3-6c1d-4002-8dc9-d9a7ff8fc47e	2025-12-17 11:18:06.177082-05	2025-12-17 11:18:06.177082-05	Luoluo Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E6100000F2D24D6210382B40D8F0F44A59E628C0	
b6e778bd-21bf-41f6-befa-ad0b68b199cb	2025-12-17 11:18:06.178418-05	2025-12-17 11:18:06.178418-05	Mahumbulu Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000003EE8D9ACFAFC2B40AD69DE718A0E2AC0	
86a57b2e-ca5e-428d-816e-e2d084a7b92e	2025-12-17 11:18:06.179998-05	2025-12-17 11:18:06.179998-05	Missao Kapusso Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000004F1E166A4DF32C406ADE718A8E6429C0	
b349d51a-8a12-4dc8-a9db-46dde353ed76	2025-12-17 11:18:06.181547-05	2025-12-17 11:18:06.181547-05	Ngoma Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E6100000FB5C6DC5FE322C40AEB6627FD93D2AC0	
5edb3138-2a4f-4566-ae63-18ee4523158f	2025-12-17 11:18:06.183651-05	2025-12-17 11:18:06.183651-05	Nzagi Career and Technical Education Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000003FC6DCB5841C2B4027C286A757CA28C0	
90174ec3-8a2a-4e7c-b8cb-8d0826ed41a0	2025-12-17 11:18:06.185285-05	2025-12-17 11:18:06.185285-05	Santa Maria Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E610000068226C787A452D40B1BFEC9E3C0C2AC0	
b52a7898-27b7-497b-a31b-b65c9bd959ae	2025-12-17 11:18:06.188937-05	2025-12-17 11:18:06.188937-05	Sendje Health Post Posto De Sa├║de (2)	Posto De Sa├║de	MoH		f	AO		0101000020E61000001EA7E8482E5F2A409A999999993929C0	
ef1d58b4-38f1-4201-a1ae-9f896c2b2f66	2025-12-17 11:18:06.190758-05	2025-12-17 11:18:06.190758-05	Uenge Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E6100000F1F44A5986382A4010E9B7AF036729C0	
75e5559e-0e7c-4606-bb78-9aef68100de1	2025-12-17 11:18:06.191871-05	2025-12-17 11:18:06.191871-05	Vianja Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E610000000000000000000000000000000000000	
447c86f7-3e87-4ebb-a8c9-2314b5a86254	2025-12-17 11:18:06.193124-05	2025-12-17 11:18:06.193124-05	Wiyangombe Health Post Posto De Sa├║de	Posto De Sa├║de	MoH		f	AO		0101000020E61000004260E5D0223B2C4050FC1873D7122AC0	
bba4e6e0-001e-4a99-9f51-960d6394873d	2025-12-17 11:18:06.194567-05	2025-12-17 11:18:06.194567-05	Hospital Municipal de Bucu-Zau Municipal Hospital	Municipal Hospital	Govt.		f	AO		0101000020E6100000DDB5847CD0132940F31FD26F5F0713C0	
