id	content	lastUpdated	compartments	active	endpoint	name	partof	phonetic	deleted	_profile	_security	_source	_tag	projectId	canonicalName
00000000-0000-0000-0000-000000000001	"{""resourceType"":""Organization"",""name"":""VHA Test Clinic"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""Clinic"",""display"":""Clinic""}]}],""active"":true,""address"":[{""line"":[""120 Main St""],""city"":""Bristol"",""state"":""UK"",""postalCode"":""23456""}],""id"":""00000000-0000-0000-0000-000000000001"",""meta"":{""versionId"":""3b2c3742-2ac6-45d3-928e-a612784e7e86"",""lastUpdated"":""2024-10-05T13:26:17.803Z""}}"	2024-10-05 09:26:17.803-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""VHA Test Clinic""}"		VHA Test Clinic	f					b57c5741-ffb7-4477-a9bf-5e66323234df	VHA Test Clinic
00000000-0000-0000-0000-000000000002	"{""resourceType"":""Organization"",""name"":""VHA Test Virtual Hospital"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""Virtual Hospital"",""display"":""Virtual Hospital""}]}],""active"":true,""id"":""00000000-0000-0000-0000-000000000002"",""meta"":{""versionId"":""81058181-a1c6-46a0-945b-b9ed5947143e"",""lastUpdated"":""2024-10-05T13:26:17.871Z""}}"	2024-10-05 09:26:17.871-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""VHA Test Virtual Hospital""}"		VHA Test Virtual Hospital	f					b57c5741-ffb7-4477-a9bf-5e66323234df	VHA Test Virtual Hospital
95e61f52-1bb0-4133-b7ac-d1bac85a79c9	"{""resourceType"":""Organization"",""name"":""Beitbridge District Hospital"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""District Hospital"",""display"":""District Hospital""}]}],""active"":true,""address"":[{""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""}],""id"":""95e61f52-1bb0-4133-b7ac-d1bac85a79c9"",""meta"":{""versionId"":""83380fe7-0ad2-4034-93a3-361e66ef928a"",""lastUpdated"":""2024-10-05T13:26:17.880Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.88-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""Beitbridge District Hospital""}"		Beitbridge District Hospital	f					b57c5741-ffb7-4477-a9bf-5e66323234df	Beitbridge District Hospital
4e085059-feb3-4dbb-b243-6aeafe9c939c	"{""resourceType"":""Organization"",""name"":""Chamunangana Clinic"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""Clinic"",""display"":""Clinic""}]}],""active"":true,""address"":[{""line"":[""Sitauzis""],""city"":""Gwanda"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""}],""id"":""4e085059-feb3-4dbb-b243-6aeafe9c939c"",""meta"":{""versionId"":""7813d805-3aee-44df-b37e-d1e333ced6dc"",""lastUpdated"":""2024-10-05T13:26:17.884Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.884-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""Chamunangana Clinic""}"		Chamunangana Clinic	f					b57c5741-ffb7-4477-a9bf-5e66323234df	Chamunangana Clinic
4171172e-cadf-4dcc-a7e0-0f445d94267a	"{""resourceType"":""Organization"",""name"":""Dulibadzimu Clinic"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""Clinic"",""display"":""Clinic""}]}],""active"":true,""address"":[{""line"":[""Shop number 6""],""city"":""Tsumbo Complex Dulivadzimu"",""state"":""Beitbridge"",""postalCode"":""ZW""}],""id"":""4171172e-cadf-4dcc-a7e0-0f445d94267a"",""meta"":{""versionId"":""850e7f87-cdd4-4cf0-8533-bb9139a0e3d5"",""lastUpdated"":""2024-10-05T13:26:17.891Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.891-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""Dulibadzimu Clinic""}"		Dulibadzimu Clinic	f					b57c5741-ffb7-4477-a9bf-5e66323234df	Dulibadzimu Clinic
2db657ec-e563-4a8c-8275-85b1b78390cd	"{""resourceType"":""Organization"",""name"":""Nottingham Rural Health Centre"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""Rural Health Centre"",""display"":""Rural Health Centre""}]}],""active"":true,""address"":[{""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""}],""id"":""2db657ec-e563-4a8c-8275-85b1b78390cd"",""meta"":{""versionId"":""24eff40e-9fb9-4c2b-855d-f3fce52a8dac"",""lastUpdated"":""2024-10-05T13:26:17.938Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.938-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""Nottingham Rural Health Centre""}"		Nottingham Rural Health Centre	f					b57c5741-ffb7-4477-a9bf-5e66323234df	Nottingham Rural Health Centre
e017eb64-1b56-4441-b486-8c05ea537f6b	"{""resourceType"":""Organization"",""name"":""Mashoko Hospital"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""Hospital"",""display"":""Hospital""}]}],""active"":true,""address"":[{""line"":[""Matsai Twp""],""city"":""Bikita"",""state"":""Masvingo Province"",""postalCode"":""ZW""}],""id"":""e017eb64-1b56-4441-b486-8c05ea537f6b"",""meta"":{""versionId"":""b5f45970-098d-4139-a5a8-0ac4507072a3"",""lastUpdated"":""2024-10-05T13:26:17.978Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.978-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""Mashoko Hospital""}"		Mashoko Hospital	f					b57c5741-ffb7-4477-a9bf-5e66323234df	Mashoko Hospital
a4daaacd-19d7-4630-823f-a123b85b71fe	"{""resourceType"":""Organization"",""name"":""Murwira Clinic"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""Clinic"",""display"":""Clinic""}]}],""active"":true,""address"":[{""line"":[""Muvuti""],""city"":""Gutu"",""state"":""Masvingo Province"",""postalCode"":""ZW""}],""id"":""a4daaacd-19d7-4630-823f-a123b85b71fe"",""meta"":{""versionId"":""64fa9015-9ea3-4f83-94d8-6a4e533199a7"",""lastUpdated"":""2024-10-05T13:26:17.993Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.993-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""Murwira Clinic""}"		Murwira Clinic	f					b57c5741-ffb7-4477-a9bf-5e66323234df	Murwira Clinic
e71aaaec-111f-4c72-b4ba-56ebf328a81e	"{""resourceType"":""Organization"",""name"":""Dite Rural Health Centre"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""Rural Health Centre"",""display"":""Rural Health Centre""}]}],""active"":true,""address"":[{""line"":[""Sinyoni""],""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""}],""id"":""e71aaaec-111f-4c72-b4ba-56ebf328a81e"",""meta"":{""versionId"":""198adfea-5c31-4e3f-9f2b-eaa2878d9875"",""lastUpdated"":""2024-10-05T13:26:17.887Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.887-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""Dite Rural Health Centre""}"		Dite Rural Health Centre	f					b57c5741-ffb7-4477-a9bf-5e66323234df	Dite Rural Health Centre
925c8dee-8cb3-4ac9-8152-aac112c9b014	"{""resourceType"":""Organization"",""name"":""ZRP Clinic"",""type"":[{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/organization-type"",""code"":""prov"",""display"":""Healthcare Provider""}]},{""coding"":[{""system"":""virtualhospitalsafrica.org/codes/organization-category"",""code"":""Clinic"",""display"":""Clinic""}]}],""active"":true,""address"":[{""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""}],""id"":""925c8dee-8cb3-4ac9-8152-aac112c9b014"",""meta"":{""versionId"":""7970964d-d7d7-4cbd-a5da-f0a2681c970b"",""lastUpdated"":""2024-10-05T13:26:17.911Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.911-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}	t		"{""ZRP Clinic""}"		ZRP Clinic	f					b57c5741-ffb7-4477-a9bf-5e66323234df	ZRP Clinic
